STATE,AIRPORT,AIRPORT_CITY,AIRPORT_ID,AIRPORT_HUB
Indiana,Indianapolis (IND),Indianapolis ,IND,Mountain Air Cargo
Indiana,Indianapolis (IND),Indianapolis ,IND,Republic Airways 
Missouri,St. Louis (STL),St. Louis ,STL,Republic Airways 
Florida,Fort Lauderdale (FLL),Fort Lauderdale ,FLL,Silver Airways
Florida,Orlando (MCO),Orlando ,MCO,Silver Airways
Florida,Tampa (TPA),Tampa ,TPA,Silver Airways
Pennsylvania,Pittsburgh (PIT),Pittsburgh ,PIT,Southern Airways Express
Tennessee,Memphis (MEM),Memphis ,MEM,Southern Airways Express
Arizona,Phoenix-Sky Harbor (PHX),Phoenix-Sky Harbor ,PHX,Southwest Airlines 
California,Los Angeles (LAX),Los Angeles ,LAX,Southwest Airlines 
California,Oakland (OAK),Oakland ,OAK,Southwest Airlines 
Colorado,Denver (DEN),Denver ,DEN,Southwest Airlines 
Florida,Orlando (MCO),Orlando ,MCO,Southwest Airlines 
Florida,Tampa (TPA),Tampa ,TPA,Southwest Airlines 
Georgia,Atlanta (ATL),Atlanta ,ATL,Southwest Airlines 
Illinois,Chicago-Midway (MDW),Chicago-Midway ,MDW,Southwest Airlines 
Maryland,Baltimore (BWI),Baltimore ,BWI,Southwest Airlines 
Missouri,St. Louis (STL),St. Louis ,STL,Southwest Airlines 
Nevada,Las Vegas (LAS),Las Vegas ,LAS,Southwest Airlines 
Tennessee,Nashville (BNA),Nashville ,BNA,Southwest Airlines 
Texas,Dallas-Love Field (DAL),Dallas-Love Field ,DAL,Southwest Airlines 
Texas,Houston-Hobby (HOU),Houston-Hobby ,HOU,Southwest Airlines 
Florida,Miami (MIA),Miami ,MIA,Spirit Airlines 
Florida,Fort Lauderdale (FLL),Fort Lauderdale ,FLL,Spirit Airlines 
Florida,Orlando (MCO),Orlando ,MCO,Spirit Airlines 
Georgia,Atlanta (ATL),Atlanta ,ATL,Spirit Airlines 
Illinois,Chicago-O'Hare (ORD),Chicago-O'Hare ,ORD,Spirit Airlines 
Michigan,Detroit (DTW),Detroit ,DTW,Spirit Airlines 
Nevada,Las Vegas (LAS),Las Vegas ,LAS,Spirit Airlines 
New Jersey,Atlantic City (ACY),Atlantic City ,ACY,Spirit Airlines 
Texas,Dallas/Fort Worth (DFW),Dallas/Fort Worth ,DFW,Spirit Airlines 
Minnesota,Minneapolis (MSP),Minneapolis ,MSP,Sun Country Airlines
Nevada,Las Vegas (LAS),Las Vegas ,LAS,Sun Country Airlines 
Texas,Dallas/Fort Worth (DFW),Dallas/Fort Worth ,DFW,Sun Country Airlines 
California,Los Angeles (LAX),Los Angeles ,LAX,United Airlines
California,San Francisco (SFO),San Francisco ,SFO,United Airlines
Colorado,Denver (DEN),Denver ,DEN,United Airlines
Illinois,Chicago-O'Hare (ORD),Chicago-O'Hare ,ORD,United Airlines
New Jersey,Newark (EWR),Newark ,EWR,United Airlines
Texas,Houston-Intercontinental (IAH),Houston-Intercontinental ,IAH,United Airlines
Virginia,Washington-Dulles (IAD),Washington-Dulles ,IAD,United Airlines
Kentucky,Louisville (SDF),Louisville ,SDF,United Parcel Service 
South Carolina,Columbia (CAE),Columbia ,CAE,United Parcel Service 
