"","term","estimate","std.error","statistic","p.value"
"1","fit_HUB2HUBTRUE",0.0424614298375846,0.0201917076610481,2.10291425323561,0.0404276669476358
"2","as.factor(CARRIER)AS",-0.0277700981451499,0.0118135548004723,-2.35069787326332,0.0226429564306575
"3","as.factor(CARRIER)DL",-0.00685069534942009,0.00771505051130463,-0.887965067679333,0.378728331424257
"4","as.factor(CARRIER)F9",-0.0262908341429814,0.0116564156308559,-2.25548187157865,0.0284225785877214
"5","as.factor(CARRIER)G4",-0.039803596793726,0.0134791370374912,-2.95297812337803,0.00474937401703316
"6","as.factor(CARRIER)NK",-0.0424867368031892,0.00937234471006412,-4.5332025354943,3.53991900851205e-05
"7","as.factor(CARRIER)UA",-0.00270548571279221,0.00689144049354033,-0.39258638528885,0.696261053831294
"8","as.factor(CARRIER)WN",-0.0313914610655436,0.00787964664634317,-3.98386659636723,0.00021602128065851
